period,year,month,frozen_r2,frozen_nrmse,adaptive_r2,adaptive_nrmse,delta_nrmse,n_test_rows
2020-01,2020,1,0.6084,0.6502,0.6084,0.6502,0.0,83
2020-02,2020,2,0.691,0.5779,0.6926,0.5759,0.002,69
2020-03,2020,3,-2.99,6.2028,-3.023,6.2184,-0.0156,67
2020-04,2020,4,-2.898,6.0468,0.3018,2.1573,3.8895,74
2020-05,2020,5,-2.6861,5.9815,0.366,1.8512,4.1303,84
2020-06,2020,6,-3.1637,5.9017,0.515,1.3528,4.549,77
2020-07,2020,7,-2.3518,5.8155,0.4591,1.4485,4.367,72
2020-08,2020,8,-3.2158,6.2255,0.4776,1.2812,4.9442,65
2020-09,2020,9,-2.6768,6.1894,0.3899,1.3984,4.791,73
2020-10,2020,10,-1.8257,5.6235,0.3443,1.4335,4.1901,73
2020-11,2020,11,-3.4804,5.9103,0.2984,1.1919,4.7184,57
2020-12,2020,12,-3.0503,5.7959,0.4964,1.0105,4.7854,82
2021-01,2021,1,-2.1637,5.7778,0.5351,1.0538,4.724,78
2021-02,2021,2,-2.7339,5.9427,0.5388,0.9629,4.9798,78
2021-03,2021,3,-3.7994,6.4952,0.4666,0.9717,5.5235,74
2021-04,2021,4,-3.6335,6.3645,0.299,1.077,5.2875,61
2021-05,2021,5,-3.1656,6.3846,0.4907,0.9521,5.4326,82
2021-06,2021,6,-3.284,5.9523,0.3846,0.9376,5.0147,63
2021-07,2021,7,-0.8665,1.6646,-11.5857,1.7682,-0.1037,82
2021-08,2021,8,-0.6821,1.6467,0.0959,0.4961,1.1506,82
2021-09,2021,9,-0.7248,1.7076,-0.1537,0.5764,1.1312,64
2021-10,2021,10,-0.2076,1.3458,-0.3634,0.5921,0.7537,82
2021-11,2021,11,-0.3726,1.4292,0.2586,0.4369,0.9924,79
2021-12,2021,12,-0.4061,1.5929,0.416,0.4287,1.1641,69
2022-01,2022,1,-0.2096,3.6695,0.15,1.2889,2.3806,73
2022-02,2022,2,-1.0731,1.7769,-1.8223,0.8625,0.9143,74
2022-03,2022,3,-0.7364,1.6894,0.295,0.4495,1.2399,70
2022-04,2022,4,-0.9465,1.6821,0.6311,0.3068,1.3753,69
2022-05,2022,5,-0.9904,1.5986,0.4165,0.3639,1.2347,76
2022-06,2022,6,-1.0005,1.8869,0.6238,0.3453,1.5415,71
2022-07,2022,7,-0.3667,1.4477,0.355,0.4211,1.0266,60
2022-08,2022,8,-0.5895,1.5058,0.4991,0.3589,1.1469,80
2022-09,2022,9,-1.0097,1.9508,0.4528,0.4339,1.5169,69
2022-10,2022,10,-0.8715,1.7515,-0.0795,0.5686,1.1829,78
2022-11,2022,11,-0.5787,1.6694,0.3703,0.4522,1.2172,75
2022-12,2022,12,-0.0211,1.3435,0.2816,0.4849,0.8586,55
