order_id,order_year,order_month,order_day,product_id,product_title,product_category,current_product_stock,client_id,price_inr,quantity_ordered
O0680,2018,9,1,P012,Tea & Coffee Packs,Groceries & Beverages,1149,C005,400,3
O5889,2018,9,1,P014,Pens & Markers Set,Stationery & School Products,396,C012,300,2
O1430,2018,9,2,P013,Notebooks (Bundle),Stationery & School Products,564,C002,600,4
O3541,2018,9,2,P001,iPhone 15,Electronics,200,C008,89900,1
O2119,2018,9,4,P001,iPhone 15,Electronics,79,C001,89900,2
O2456,2018,9,4,P005,Summer Cotton T-Shirts,Fashion,3342,C005,1500,4
O0921,2018,9,5,P009,Yoga Mats,Gym Products,4938,C009,1500,5
O2025,2018,9,5,P002,Smart Watch,Electronics,236,C001,15000,4
O0252,2018,9,6,P002,Smart Watch,Electronics,461,C003,15000,3
O1641,2018,9,6,P010,Soft Drink Cases,Groceries & Beverages,1258,C005,2200,1
O2148,2018,9,7,P012,Tea & Coffee Packs,Groceries & Beverages,803,C002,400,4
O4003,2018,9,8,P001,iPhone 15,Electronics,107,C003,89900,2
O0226,2018,9,9,P002,Smart Watch,Electronics,465,C002,15000,4
O5762,2018,9,9,P015,School Backpacks,Stationery & School Products,194,C010,800,4
O1320,2018,9,10,P006,Festive Sarees,Fashion,710,C008,6000,1
O5504,2018,9,10,P001,iPhone 15,Electronics,102,C002,89900,1
O1808,2018,9,11,P010,Soft Drink Cases,Groceries & Beverages,1126,C005,2200,3
O2001,2018,9,11,P007,Treadmill,Gym Products,50,C012,42000,1
O5304,2018,9,11,P006,Festive Sarees,Fashion,966,C006,6000,5
O1397,2018,9,12,P001,iPhone 15,Electronics,48,C009,89900,1
O4399,2018,9,13,P007,Treadmill,Gym Products,22,C002,42000,1
O0372,2018,9,14,P008,Dumbbell Set,Gym Products,955,C002,2800,2
O0553,2018,9,14,P006,Festive Sarees,Fashion,1732,C005,6000,3
O1740,2018,9,14,P012,Tea & Coffee Packs,Groceries & Beverages,113,C010,400,5
O3792,2018,9,14,P005,Summer Cotton T-Shirts,Fashion,2306,C001,1500,3
O4510,2018,9,14,P014,Pens & Markers Set,Stationery & School Products,296,C012,300,3
O5023,2018,9,14,P012,Tea & Coffee Packs,Groceries & Beverages,96,C004,400,3
O5027,2018,9,14,P007,Treadmill,Gym Products,35,C009,42000,2
O0084,2018,9,15,P011,Packaged Snacks,Groceries & Beverages,1437,C010,500,5
O4311,2018,9,15,P012,Tea & Coffee Packs,Groceries & Beverages,884,C004,400,3
O3607,2018,9,16,P006,Festive Sarees,Fashion,625,C001,6000,1
O4055,2018,9,16,P012,Tea & Coffee Packs,Groceries & Beverages,118,C007,400,1
O1312,2018,9,17,P003,Bluetooth Speakers,Electronics,107,C010,9500,5
O4246,2018,9,17,P005,Summer Cotton T-Shirts,Fashion,1856,C001,1500,4
O5232,2018,9,17,P008,Dumbbell Set,Gym Products,679,C004,2800,2
O1575,2018,9,18,P006,Festive Sarees,Fashion,416,C002,6000,2
O2650,2018,9,19,P015,School Backpacks,Stationery & School Products,269,C007,800,4
O0082,2018,9,20,P013,Notebooks (Bundle),Stationery & School Products,1400,C009,600,3
O1602,2018,9,20,P007,Treadmill,Gym Products,38,C010,42000,2
O2156,2018,9,20,P015,School Backpacks,Stationery & School Products,304,C006,800,1
O3185,2018,9,20,P005,Summer Cotton T-Shirts,Fashion,2794,C002,1500,2
O3343,2018,9,20,P013,Notebooks (Bundle),Stationery & School Products,296,C002,600,4
O3370,2018,9,20,P004,Men's Winter Jacket,Fashion,744,C011,3500,1
O3803,2018,9,21,P007,Treadmill,Gym Products,3,C005,42000,2
O4985,2018,9,21,P006,Festive Sarees,Fashion,1240,C010,6000,4
O5028,2018,9,21,P013,Notebooks (Bundle),Stationery & School Products,405,C001,600,1
O5840,2018,9,21,P015,School Backpacks,Stationery & School Products,60,C012,800,5
O0605,2018,9,22,P009,Yoga Mats,Gym Products,5154,C008,1500,1
