order_id,order_year,order_month,order_day,demand_phase,product_id,product_title,product_category,current_product_stock,client_id,price_inr,quantity_ordered
O04211,2014,1,1,pre_covid,P003,Smartphone,Electronics,322,C009,22000,4
O05265,2014,1,1,pre_covid,P012,Festive Sarees,Fashion,414,C015,6000,2
O05277,2014,1,1,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,85,C013,8500,5
O03174,2014,1,3,pre_covid,P010,Men's Formal Shirts,Fashion,1647,C006,1800,2
O03297,2014,1,3,pre_covid,P007,Treadmill,Gym Equipment,78,C009,42000,7
O03494,2014,1,3,pre_covid,P007,Treadmill,Gym Equipment,51,C007,42000,5
O04076,2014,1,4,pre_covid,P009,Yoga Mat,Gym Equipment,516,C004,1500,7
O05256,2014,1,4,pre_covid,P004,Air Purifier,Home & Kitchen,142,C007,12000,1
O00029,2014,1,5,pre_covid,P009,Yoga Mat,Gym Equipment,1440,C002,1500,8
O00319,2014,1,5,pre_covid,P007,Treadmill,Gym Equipment,71,C003,42000,7
O02140,2014,1,5,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,170,C010,8500,1
O03628,2014,1,6,pre_covid,P011,Casual Loungewear Set,Fashion,2278,C020,1200,4
O02755,2014,1,7,pre_covid,P004,Air Purifier,Home & Kitchen,180,C008,12000,5
O04376,2014,1,7,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,18,C014,7500,6
O00259,2014,1,8,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,1086,C009,3500,15
O00792,2014,1,8,pre_covid,P010,Men's Formal Shirts,Fashion,2931,C019,1800,5
O05227,2014,1,8,pre_covid,P005,Microwave Oven,Home & Kitchen,123,C008,9000,3
O01344,2014,1,9,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,132,C015,8500,3
O03095,2014,1,9,pre_covid,P011,Casual Loungewear Set,Fashion,2539,C011,1200,1
O05228,2014,1,9,pre_covid,P003,Smartphone,Electronics,89,C001,22000,3
O00481,2014,1,10,pre_covid,P009,Yoga Mat,Gym Equipment,2240,C005,1500,15
O00882,2014,1,10,pre_covid,P011,Casual Loungewear Set,Fashion,3149,C011,1200,6
O02942,2014,1,10,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2724,C018,800,6
O04220,2014,1,10,pre_covid,P005,Microwave Oven,Home & Kitchen,261,C004,9000,6
O03291,2014,1,11,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2575,C014,800,6
O07024,2014,1,11,pre_covid,P009,Yoga Mat,Gym Equipment,546,C003,1500,8
O01446,2014,1,12,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,95,C016,8500,3
O04939,2014,1,12,pre_covid,P009,Yoga Mat,Gym Equipment,1066,C011,1500,5
O06275,2014,1,13,pre_covid,P011,Casual Loungewear Set,Fashion,1032,C012,1200,1
O01676,2014,1,14,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,1196,C005,3500,8
O02592,2014,1,14,pre_covid,P001,Laptop,Electronics,123,C020,55000,3
O03885,2014,1,14,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,539,C015,3500,5
O00697,2014,1,15,pre_covid,P007,Treadmill,Gym Equipment,43,C002,42000,7
O05191,2014,1,15,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,703,C005,3500,18
O07995,2014,1,15,pre_covid,P002,Webcam & Headset Combo,Electronics,190,C004,4500,5
O01196,2014,1,16,pre_covid,P007,Treadmill,Gym Equipment,19,C016,42000,8
O05784,2014,1,16,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,118,C009,3500,8
O06097,2014,1,16,pre_covid,P010,Men's Formal Shirts,Fashion,1957,C016,1800,6
O06621,2014,1,16,pre_covid,P009,Yoga Mat,Gym Equipment,927,C020,1500,7
O07319,2014,1,16,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,1052,C019,3500,7
O04575,2014,1,18,pre_covid,P007,Treadmill,Gym Equipment,5,C016,42000,2
O07310,2014,1,18,pre_covid,P006,Office Chair (Ergonomic),Home & Kitchen,25,C015,8500,4
O01413,2014,1,19,pre_covid,P012,Festive Sarees,Fashion,1175,C013,6000,1
O03069,2014,1,19,pre_covid,P015,Drawing Tablet (EdTech),Stationery & EdTech,192,C004,7500,5
O03154,2014,1,19,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,1158,C019,3500,7
O03850,2014,1,19,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,577,C005,3500,8
O06781,2014,1,19,pre_covid,P001,Laptop,Electronics,142,C004,55000,1
O01580,2014,1,20,pre_covid,P014,Packaged Grocery Staples,Groceries & Hygiene,2980,C019,800,5
O03785,2014,1,20,pre_covid,P001,Laptop,Electronics,75,C010,55000,1
O04822,2014,1,20,pre_covid,P007,Treadmill,Gym Equipment,27,C016,42000,3
O02230,2014,1,21,pre_covid,P007,Treadmill,Gym Equipment,74,C002,42000,7
O03038,2014,1,21,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,67,C004,3500,16
O06960,2014,1,21,pre_covid,P004,Air Purifier,Home & Kitchen,75,C006,12000,3
O02853,2014,1,22,pre_covid,P003,Smartphone,Electronics,260,C012,22000,6
O02970,2014,1,22,pre_covid,P013,Hand Sanitizer (Bulk Pack),Groceries & Hygiene,505,C005,1200,2
O00348,2014,1,23,pre_covid,P012,Festive Sarees,Fashion,1725,C005,6000,6
O02789,2014,1,23,pre_covid,P010,Men's Formal Shirts,Fashion,1841,C002,1800,3
O05673,2014,1,23,pre_covid,P008,Resistance Bands & Dumbbell Set,Gym Equipment,225,C007,3500,15
O01024,2014,1,24,pre_covid,P003,Smartphone,Electronics,238,C009,22000,2
O06357,2014,1,24,pre_covid,P007,Treadmill,Gym Equipment,38,C019,42000,4
O03960,2014,1,25,pre_covid,P001,Laptop,Electronics,144,C015,55000,1
O07736,2014,1,25,pre_covid,P011,Casual Loungewear Set,Fashion,272,C019,1200,6
